,Label,University_Name,UniversityNo,Year,Topic,Province,University_Name_Location,Plan_Number,Ranking_Scores,Media_Impact,GDP,Population,GDP_Per_Person,Distance,Lowest,Highest,ave,Plan,NO
84,761,东北师范大学,10200,2012,文科,吉林,东北师范大学,4,11.08,0.0248338369,1056883,2749.41,384.40356294620005,3052.0,581.0,589.0,583.0,7.0,第一批
85,773,东北师范大学,10200,2011,理科,吉林,东北师范大学,9,10.81,0.0,866758,2746.6,315.5748925945,3052.0,624.0,632.0,628.0,6.0,第一批
86,773,东北师范大学,10200,2011,理科,吉林,东北师范大学,9,10.81,0.0,866758,2746.6,315.5748925945,3052.0,,646.0,638.0,4.0,不详
87,786,东北师范大学,10200,2012,理科,吉林,东北师范大学,8,11.08,0.0248338369,1056883,2749.41,384.40356294620005,3052.0,568.0,580.0,573.0,3.0,第一批
88,798,东北师范大学,10200,2010,文科,吉林,东北师范大学,4,10.93,0.03,727875,2739.55,265.6914456754,3052.0,519.0,537.0,528.0,4.0,第一批
89,798,东北师范大学,10200,2010,文科,吉林,东北师范大学,4,10.93,0.03,727875,2739.55,265.6914456754,3052.0,522.0,551.0,535.0,36.0,提前批
90,810,东北师范大学,10200,2013,文科,吉林,东北师范大学,13,12.73,0.0250608273,1193924,2750.4,434.0910413031,3052.0,590.0,596.0,592.0,3.0,第一批
91,822,东北师范大学,10200,2014,文科,吉林,东北师范大学,13,65.27,0.0451298701,1298146,2751.28,471.833473874,3052.0,594.0,612.0,598.0,12.0,第一批
92,835,东北师范大学,10200,2015,文科,吉林,东北师范大学,17,66.34,0.0453978159,1380381,2752.0,501.5919331395,3052.0,,,586.0,,第一批
93,838,东北师范大学,10200,2015,理科,吉林,东北师范大学,25,66.34,0.0453978159,1380381,2752.0,501.5919331395,3052.0,,,578.0,,第一批
94,878,东北林业大学,10225,2011,文科,黑龙江,东北林业大学,3,5.11,0.0,1036860,3833.35,270.4840413737,3294.0,606.0,606.0,606.0,1.0,第一批
95,884,东北林业大学,10225,2014,理科,黑龙江,东北林业大学,16,61.89,0.0,1438293,3835.02,375.0418511507,3294.0,597.0,597.0,597.0,1.0,第一批
96,907,东北林业大学,10225,2015,理科,黑龙江,东北林业大学,24,63.42,0.0,1503938,3833.0,392.36577093660003,3294.0,568.0,,571.0,,第一批
97,929,东北林业大学,10225,2010,文科,黑龙江,东北林业大学,3,5.46,0.0,858700,3826.01,224.4374687991,3294.0,518.0,541.0,525.0,14.0,第一批
98,947,东北林业大学,10225,2011,理科,黑龙江,东北林业大学,19,5.11,0.0,1036860,3833.35,270.4840413737,3294.0,567.0,595.0,572.0,143.0,第一批
99,973,东北林业大学,10225,2010,理科,黑龙江,东北林业大学,16,5.46,0.0,858700,3826.01,224.4374687991,3294.0,540.0,576.0,550.0,116.0,第一批
100,1057,东北财经大学,10173,2015,文科,辽宁,东北财经大学,16,62.69,0.0,2862658,4391.0,651.9375996356,2246.0,,,602.0,,第一批
101,1061,东北财经大学,10173,2012,文科,辽宁,东北财经大学,21,3.18,0.0,2222670,4383.0,507.11156741959996,2246.0,581.0,613.0,597.0,19.0,第一批
102,1070,东北财经大学,10173,2014,理科,辽宁,东北财经大学,31,61.29,0.0,2707765,4390.0,616.8029612756,2246.0,586.0,623.0,599.0,31.0,第一批
103,1080,东北财经大学,10173,2011,文科,辽宁,东北财经大学,20,3.38,0.0,1845727,4375.0,421.8804571429,2246.0,614.0,628.0,619.0,20.0,第一批
