"","Year","Ranking_Scores","Plan_Number","GDP_Per_Person","X1A_Number","Level"
"815",2013,47.62,8,847.818251324341,40420,"E"
"816",2013,100,18,864.031314937418,40420,"D"
"817",2013,1.78,69,847.818251324341,40420,"K"
"818",2013,96.81,63,864.031314937418,40420,"C"
"819",2013,10.43,37,847.818251324341,40420,"K"
"820",2013,7.69,101,864.031314937418,40420,"I"
"821",2013,4.44,86,864.031314937418,40420,"K"
"822",2013,NA,26,864.031314937418,40420,"I"
"823",2013,21.52,98,847.818251324341,40420,"G"
"824",2013,9.61,112,295.594462742379,40420,"K"
"825",2013,47.62,43,847.818251324341,40420,"D"
"826",2013,5.15,32,847.818251324341,40420,"H"
"827",2013,5.8,42,864.031314937418,40420,"H"
"828",2013,11.87,34,864.031314937418,40420,"K"
"829",2013,1.42,34,847.818251324341,40420,"K"
"830",2013,1.52,26,912.42118671054,40420,"K"
"831",2013,4.42,20,287.442384769539,40420,"K"
"832",2013,3.61,20,295.594462742379,40420,"K"
"833",2013,7.89,67,287.442384769539,40420,"K"
"834",2013,7.89,80,287.442384769539,40420,"K"
"835",2013,5.22,9,864.031314937418,40420,"K"
"836",2013,9.95,19,864.031314937418,40420,"K"
"837",2013,16.98,2662,538.681517840287,40420,"I"
"838",2013,28.09,104,516.405899098284,40420,"J"
"839",2013,8.77,59,864.031314937418,40420,"K"
"840",2013,5.48,5622,538.681517840287,40420,"K"
"841",2013,7.58,1418,538.681517840287,40420,"J"
"842",2013,12.73,22,434.091041303083,40420,"K"
"843",2013,14.04,74,864.031314937418,40420,"I"
"844",2013,4.79,7,278.408799658266,40420,"K"
"845",2013,55.87,26,847.818251324341,40420,"D"
"846",2013,2.57,242,538.681517840287,40420,"J"
"847",2013,1.68,4949,538.681517840287,40420,"K"
"848",2013,1.59,11,682.555006452037,40420,"K"
"849",2013,10.71,94,682.555006452037,40420,"K"
"850",2013,10.06,30,295.594462742379,40420,"K"
"851",2013,18.73,20,847.818251324341,40420,"J"
"852",2013,2.53,8,847.818251324341,40420,"H"
"853",2013,9.31,88,864.031314937418,40420,"J"
"854",2013,4.46,30,682.555006452037,40420,"K"
"855",2013,9.16,83,682.555006452037,40420,"K"
"856",2013,27.91,33,912.42118671054,40420,"G"
"857",2013,25.8,30,516.405899098284,40420,"J"
"858",2013,NA,16,864.031314937418,40420,"K"
"859",2013,19.81,55,864.031314937418,40420,"G"
"860",2013,5.38,4,336.141939644748,40420,"K"
"861",2013,28.36,38,864.031314937418,40420,"E"
"862",2013,28.36,6,682.555006452037,40420,"H"
"863",2013,9.21,40,847.818251324341,40420,"J"
"864",2013,8.33,102,682.555006452037,40420,"K"
"865",2013,10.13,64,682.555006452037,40420,"J"
"866",2013,13.21,36,847.818251324341,40420,"J"
"867",2013,100,18,864.031314937418,40420,"C"
"868",2013,45.01,58,682.555006452037,40420,"F"
"869",2013,3.35,620,538.681517840287,40420,"K"
"870",2013,NA,18,864.031314937418,40420,"J"
"871",2013,6.71,12,864.031314937418,40420,"J"
"872",2013,7.69,24,864.031314937418,40420,"K"
"873",2013,9.7,47,682.555006452037,40420,"J"
"874",2013,10.71,10,864.031314937418,40420,"K"
"875",2013,6.38,42,287.501669929704,40420,"K"
"876",2013,6.15,1838,538.681517840287,40420,"K"
"877",2013,3.42,24,682.555006452037,40420,"K"
"878",2013,13.67,60,364.665159979197,40420,"K"
"879",2013,1.16,1821,538.681517840287,40420,"J"
"880",2013,4.36,5,364.665159979197,40420,"K"
"881",2013,2.96,20,364.665159979197,40420,"K"
"882",2013,8.47,60,314.678722544705,40420,"K"
"883",2013,55.87,15,847.818251324341,40420,"E"
"884",2013,54.27,88,632.925506664232,40420,"E"
"885",2013,1.76,15,632.925506664232,40420,"K"
"886",2013,1.41,10,278.408799658266,40420,"K"
"887",2013,4.08,10,864.031314937418,40420,"I"
"888",2013,3.99,119,322.095764480289,40420,"K"
"889",2013,32.05,170,385.022495241391,40420,"I"
"890",2013,6.85,87,864.031314937418,40420,"K"
"891",2013,11.06,54,385.022495241391,40420,"K"
"892",2013,3.88,38,864.031314937418,40420,"H"
"893",2013,18.1,49,864.031314937418,40420,"J"
"894",2013,3.22,8,864.031314937418,40420,"H"
"895",2013,9.85,237,385.022495241391,40420,"J"
"896",2013,3.82,40,682.555006452037,40420,"K"
"897",2013,5.38,7,637.812719641746,40420,"K"
"898",2013,21.17,65,682.555006452037,40420,"I"
"899",2013,6.2,46,682.555006452037,40420,"K"
"900",2013,8.82,33,682.555006452037,40420,"K"
"901",2013,5.13,136,385.022495241391,40420,"J"
"902",2013,37.06,202,385.022495241391,40420,"I"
"903",2013,10.56,38,385.022495241391,40420,"K"
"904",2013,7.79,24,333.701816407162,40420,"K"
"905",2013,14.31,176,333.701816407162,40420,"J"
"906",2013,4.46,72,864.031314937418,40420,"H"
"907",2013,34,152,434.091041303083,40420,"J"
"908",2013,3.16,6,434.091041303083,40420,"K"
"909",2013,3.84,33,333.701816407162,40420,"K"
"910",2013,26.1,293,333.701816407162,40420,"J"
"911",2013,0.89,10,333.701816407162,40420,"K"
"912",2013,4.26,63,295.594462742379,40420,"J"
"913",2013,15.6,65,219.208162790247,40420,"K"
"914",2013,24.63,111,525.661152614728,40420,"I"
"915",2013,1.95,165,525.661152614728,40420,"K"
"916",2013,1.81,107,682.555006452037,40420,"K"
