"","Year","Province","University_Name_Location","University_Name","UniversityNo","Topic","Plan_Number","Lowest_Ranking","Score","Ranking_Scores","Media_Impact","GDP","Population","Student_Population"
"196","2010","辽宁","东北财经大学","东北财经大学","10173","理科","20","15200","638","3.32",NA,"1521250","4341",61.5
"197","2010","辽宁","大连海事大学","大连海事大学","10151","文科","14","7594","602","3.38",NA,"1521250","4341",61.5
"198","2010","辽宁","辽宁大学","辽宁大学","10140","文科","41","10814","595","4.8",NA,"1521250","4341",61.5
"199","2010","辽宁","大连理工大学","大连理工大学","10141","理科","30","11656","643","18.38","0.0267078189300412","1521250","4341",61.5
"200","2010","辽宁","中国医科大学","中国医科大学","10159","理科","19","22217","629","4.21",NA,"1521250","4341",61.5
"201","2010","重庆","西南政法大学","西南政法大学","10652","文科","65","4122","613","3.81","0.0306172839506173","653001","2859",61.5
"202","2010","重庆","西南大学","西南大学","10635","文科","13","8751","599","9.33","0.0633744855967078","653001","2859",61.5
"203","2010","重庆","西南大学","西南大学","10635","理科","37","29392","621","9.33","0.0633744855967078","653001","2859",61.5
"204","2010","重庆","西南政法大学","西南政法大学","10652","理科","69","23308","627","3.81","0.0306172839506173","653001","2859",61.5
"205","2010","重庆","重庆大学","重庆大学","10611","理科","80","17825","634","15.33","0.060082304526749","653001","2859",61.5
"206","2010","重庆","重庆大学","重庆大学","10611","文科","12","6292","606","15.33","0.060082304526749","653001","2859",61.5
"207","2010","陕西","长安大学","长安大学","10710","理科","46","28490","622","7.86",NA,"816980","3727",61.5
"208","2010","陕西","西北工业大学","西北工业大学","10699","理科","21","15713","637","18.09",NA,"816980","3727",61.5
"209","2010","陕西","西安交通大学","西安交通大学","10698","理科","28","4333","660","27.45","0.0584362139917695","816980","3727",61.5
"210","2010","陕西","陕西科技大学","陕西科技大学","10708","理科","15","25220","625","1.08",NA,"816980","3727",61.5
"211","2010","陕西","陕西师范大学","陕西师范大学","10718","理科","32","28571","622","5.82",NA,"816980","3727",61.5
"212","2010","陕西","西北大学","西北大学","10697","理科","6","28814","621","11.58","0.0477366255144033","816980","3727",61.5
"213","2010","陕西","西安建筑科技大学","西安建筑科技大学","10703","理科","1","7387","652","2.72",NA,"816980","3727",61.5
"214","2010","陕西","西北大学","西北大学","10697","文科","2","9242","598","11.58","0.0477366255144033","816980","3727",61.5
"215","2010","陕西","西北农林科技大学","西北农林科技大学","10712","文科","6","10869","595","8.9",NA,"816980","3727",61.5
"216","2010","陕西","西北农林科技大学","西北农林科技大学","10712","理科","14","23607","627","8.9",NA,"816980","3727",61.5
"217","2010","陕西","陕西师范大学","陕西师范大学","10718","文科","10","10270","596","5.82",NA,"816980","3727",61.5
"218","2010","陕西","长安大学","长安大学","10710","文科","4","10119","596","7.86",NA,"816980","3727",61.5
"219","2010","陕西","西安电子科技大学","西安电子科技大学","10701","理科","90","21794","629","8.21",NA,"816980","3727",61.5
"220","2010","陕西","西安外国语大学","西安外国语大学","10724","文科","13","7240","603",NA,NA,"816980","3727",61.5
"221","2010","陕西","西北工业大学","西北工业大学","10699","文科","4","10045","596","18.09",NA,"816980","3727",61.5
"222","2010","陕西","西安外国语大学","西安外国语大学","10724","理科","7","28511","622",NA,NA,"816980","3727",61.5
"223","2010","陕西","西安建筑科技大学","西安建筑科技大学","10703","文科","2","10869","595","2.72",NA,"816980","3727",61.5
"224","2010","黑龙江","东北林业大学","东北林业大学","10225","文科","3","6129","606","5.46",NA,"858700","3826.01",61.5
"225","2010","黑龙江","哈尔滨工业大学","哈尔滨工业大学","10213","理科","63","7458","652","28.32","0.0555555555555556","858700","3826.01",61.5
"226","2010","黑龙江","石家庄铁道大学","石家庄铁道大学","10107","理科","4","19245","632",NA,NA,"858700","3826.01",61.5
"227","2010","黑龙江","哈尔滨工业大学","哈尔滨工业大学","10213","文科","2","5695","608","28.32","0.0555555555555556","858700","3826.01",61.5
"228","2010","黑龙江","石家庄铁道大学","石家庄铁道大学","10107","文科","1","8824","599",NA,NA,"858700","3826.01",61.5
