University_Name_Location,年份,最低,最高,平均,录取人数,录取批次,Topic
重庆大学,2013,601,645,610,111,第一批,理科
重庆大学,2012,585,645,614,85,第一批,理科
重庆大学,2011,587,640,595,86,第一批,理科
重庆大学,2010,633,658,641,80,第一批,理科
重庆大学,2009,541,605,579,190,第一批,理科
重庆大学,2009,541,580,557,6,提前批,理科
重庆大学,2008,564,627,585,78,第一批,理科
重庆大学,2014,,,607,,第一批,文科
重庆大学,2013,608,618,613,11,第一批,文科
重庆大学,2012,584,614,606,12,第一批,文科
重庆大学,2011,577,604,597,11,第一批,文科
重庆大学,2010,606,616,610,13,第一批,文科
重庆大学,2009,521,551,538,26,第一批,文科
重庆大学,2008,571,588,579,6,第一批,文科
电子科技大学,2014,,,605,,第一批,理科
电子科技大学,2013,586,628,611,153,第一批,理科
电子科技大学,2012,594,634,614,132,第一批,理科
电子科技大学,2011,570,632,595,121,第一批,理科
电子科技大学,2010,638,667,643,130,第一批,理科
电子科技大学,2009,567,602,582,148,第一批,理科
电子科技大学,2008,578,620,590,100,第一批,理科
电子科技大学,2010,578,601,585,9,第一批,文科
电子科技大学,2009,518,534,523,14,第一批,文科
西安交通大学,2014,,,632,,第一批,理科
西安交通大学,2013,625,662,643,39,第一批,理科
西安交通大学,2012,636,666,647,33,第一批,理科
西安交通大学,2011,605,642,626,32,第一批,理科
西安交通大学,2010,660,677,667,30,第一批,理科
西安交通大学,2009,588,639,606,159,第一批,理科
西安交通大学,2009,583,631,607,5,提前批,理科
西安交通大学,2008,603,666,626,29,第一批,理科
西安交通大学,2014,,,613,,第一批,文科
西安交通大学,2013,614,617,616,2,第一批,文科
西安交通大学,2012,597,615,606,2,第一批,文科
西安交通大学,2011,593,604,598,2,第一批,文科
西安交通大学,2010,578,611,599,11,第一批,文科
西安交通大学,2009,536,545,540,6,第一批,文科
西北工业大学,2014,,,596,,第一批,理科
西北工业大学,2013,595,626,611,30,第一批,理科
西北工业大学,2012,586,626,608,25,第一批,理科
西北工业大学,2011,575,608,595,21,第一批,理科
西北工业大学,2010,637,659,644,21,第一批,理科
西北工业大学,2009,542,615,579,156,第一批,理科
西北工业大学,2008,587,621,598,22,第一批,理科
西北工业大学,2014,,,599,,第一批,文科
西北工业大学,2013,597,606,601,4,第一批,文科
西北工业大学,2012,597,598,598,2,第一批,文科
西北工业大学,2011,590,591,590,3,第一批,文科
西北工业大学,2010,596,607,602,4,第一批,文科
西北工业大学,2009,521,537,530,7,第一批,文科
西北工业大学,2008,570,593,581,2,第一批,文科
兰州大学,2014,582,,590,,第一批,理科
兰州大学,2013,586,614,595,66,第一批,理科
兰州大学,2012,582,616,600,60,第一批,理科
兰州大学,2011,574,599,580,55,第一批,理科
兰州大学,2010,627,647,632,38,第一批,理科
兰州大学,2009,552,587,563,135,第一批,理科
兰州大学,2008,564,600,574,17,第一批,理科
兰州大学,2014,590,,596,,第一批,文科
兰州大学,2013,595,613,605,31,第一批,文科
兰州大学,2012,596,609,600,26,第一批,文科
兰州大学,2011,583,604,590,26,第一批,文科
兰州大学,2010,603,627,610,11,第一批,文科
兰州大学,2009,521,563,535,26,第一批,文科
兰州大学,2008,570,585,575,7,第一批,文科
四川大学,2014,599,,607,,第一批,理科
四川大学,2013,602,651,614,97,第一批,理科
四川大学,2012,594,652,618,92,第一批,理科
四川大学,2011,570,628,596,95,第一批,理科
四川大学,2010,639,664,645,105,第一批,理科
四川大学,2009,570,615,587,182,第一批,理科
四川大学,2008,564,619,588,72,第一批,理科
四川大学,2014,614,,618,,第一批,文科
四川大学,2013,618,627,622,17,第一批,文科
四川大学,2012,598,624,615,18,第一批,文科
四川大学,2011,605,613,608,20,第一批,文科
四川大学,2010,614,625,617,23,第一批,文科
四川大学,2009,536,556,545,27,第一批,文科
四川大学,2008,592,612,602,12,第一批,文科
西北农林科技大学,2014,561,,567,,第一批,理科
西北农林科技大学,2013,575,591,580,12,第一批,理科
西北农林科技大学,2012,566,595,588,8,第一批,理科
西北农林科技大学,2011,572,572,572,1,第一批,理科
西北农林科技大学,2010,621,631,626,4,第一批,理科
西北农林科技大学,2009,540,588,549,75,第一批,理科
西北农林科技大学,2008,564,592,573,15,第一批,理科
西北农林科技大学,2014,585,585,584,,第一批,文科
西北农林科技大学,2013,594,594,594,1,第一批,文科
西北农林科技大学,2010,595,604,604,1,第一批,文科
西北农林科技大学,2009,519,523,520,10,第一批,文科
西北农林科技大学,2008,572,583,577,3,第一批,文科
中南大学,2014,603,,609,,第一批,理科
中南大学,2013,595,647,613,293,第一批,理科
中南大学,2012,592,649,617,204,第一批,理科
中南大学,2011,591,620,596,209,第一批,理科
中南大学,2010,638,660,642,236,第一批,理科
中南大学,2009,552,609,576,306,第一批,理科
中南大学,2009,544,577,558,8,提前批,理科
中南大学,2008,582,622,592,225,第一批,理科
中南大学,2014,606,,609,,第一批,文科
中南大学,2013,611,616,614,27,第一批,文科
中南大学,2012,601,615,605,20,第一批,文科
中南大学,2011,580,610,598,23,第一批,文科
中南大学,2010,606,621,611,22,第一批,文科
中南大学,2009,525,548,537,30,第一批,文科
中南大学,2008,585,617,592,25,第一批,文科
华中科技大学,2014,616,,630,,第一批,理科
华中科技大学,2013,603,661,629,171,第一批,理科
华中科技大学,2012,605,662,633,151,第一批,理科
华中科技大学,2011,595,647,621,169,第一批,理科
华中科技大学,2010,655,682,663,164,第一批,理科
华中科技大学,2009,540,649,605,2434,第一批,理科
华中科技大学,2009,547,620,573,39,提前批,理科
华中科技大学,2008,611,652,626,183,第一批,理科
华中科技大学,2014,613,,617,,第一批,文科
华中科技大学,2013,619,630,622,24,第一批,文科
华中科技大学,2012,606,622,615,20,第一批,文科
华中科技大学,2011,592,625,607,20,第一批,文科
华中科技大学,2010,620,630,623,26,第一批,文科
华中科技大学,2009,518,577,549,205,第一批,文科
华中科技大学,2008,601,614,606,31,第一批,文科
东北大学秦皇岛分校,2013,574,608,579,45,第一批,理科
东北大学秦皇岛分校,2012,585,623,591,15,第一批,理科
东北大学秦皇岛分校,2011,569,579,573,18,第一批,理科
