,UniversityNo,Distance,GDP,Population,GDP_Per_Person,Year,Ranking_Scores,Media_Impact,Topic,Plan_Number,Lowest,Label
248,10053,2154.0,1411358,1961.9,719.3832509302,2011,5.85,0.17004048579999995,1,39,659.0,11
249,10053,2154.0,1625193,2018.6,805.1089864262,2012,6.45,0.167673716,1,34,599.0,9
250,10423,440.0,5001324,9684.87,516.4058990983,2013,10.18,0.0304136253,1,111,585.0,21
251,10423,440.0,3916992,9587.87,408.5362025142,2011,11.21,0.0284615385,0,14,605.0,20
252,10423,440.0,5468433,9733.39,561.8220373375,2014,64.09,0.0438311688,1,111,592.0,24
253,10423,440.0,3916992,9587.87,408.5362025142,2011,11.21,0.0284615385,1,86,629.0,20
254,10423,440.0,3389665,9470.3,357.92583128309997,2010,11.65,0.0330864198,0,20,527.0,16
255,10423,440.0,5001324,9684.87,516.4058990983,2013,10.18,0.0304136253,0,27,584.0,15
256,10423,440.0,5468433,9733.39,561.8220373375,2014,64.09,0.0438311688,0,27,608.0,15
257,10423,440.0,4536185,9637.27,470.69190756300003,2012,11.11,0.0311178248,0,18,589.0,17
258,10423,440.0,3389665,9470.3,357.92583128309997,2010,11.65,0.0330864198,1,80,560.0,22
259,10423,440.0,4536185,9637.27,470.69190756300003,2012,11.11,0.0311178248,1,86,563.0,20
260,10425,1858.0,5001324,9684.87,516.4058990983,2013,9.95,0.0540145985,1,48,586.0,26
261,11414,1858.0,1411358,1961.9,719.3832509302,2011,11.06,0.0599190283,0,2,600.0,18
262,10425,1858.0,5468433,9733.39,561.8220373375,2014,63.77,0.0,1,55,574.0,28
263,10425,1858.0,3389665,9470.3,357.92583128309997,2010,10.91,0.0366255144,1,37,543.0,24
264,10425,1858.0,3389665,9470.3,357.92583128309997,2010,10.91,0.0366255144,1,37,540.0,24
265,11414,1858.0,1625193,2018.6,805.1089864262,2012,11.26,0.053776435,0,3,594.0,16
266,11414,1858.0,1787940,2069.3,864.0313149374001,2013,9.95,0.0540145985,0,4,605.0,18
267,10425,1858.0,4536185,9637.27,470.69190756300003,2012,11.26,0.053776435,1,40,570.0,22
268,11414,1858.0,1625193,2018.6,805.1089864262,2012,11.26,0.053776435,1,16,566.0,25
