,Unnamed: 0,Label,UniversityNo,University_Name_Location,Distance,Province,GDP,Population,GDP_Per_Person,Year,Ranking_Scores,Media_Impact,Topic,Plan_Number,Label.1,Lowest,Highest,ave,Plan,NO
1326,1326,23,10285,苏州大学,1422.0,江苏,4911027,7898.8006682342,621.7433767825,2012,8.61,0.0275830816,理科,26,23,572.0,594.0,585.0,24.0,第一批
1327,1327,23,10285,苏州大学,1422.0,江苏,5916175,7939.49,745.1580643089,2014,63.79,0.0498376623,理科,35,23,594.0,610.0,599.0,33.0,第一批
1328,1328,24,10285,苏州大学,1422.0,江苏,3445730,7810.269,441.1794267265,2010,9.13,0.0335802469,理科,24,24,547.0,584.0,563.0,22.0,第一批
1329,1329,16,10285,苏州大学,1422.0,江苏,4911027,7898.8006682342,621.7433767825,2012,8.61,0.0275830816,文科,8,16,589.0,602.0,595.0,6.0,第一批
1330,1330,15,10285,苏州大学,1422.0,江苏,3445730,7810.269,441.1794267265,2010,9.13,0.0335802469,文科,6,15,522.0,550.0,539.0,9.0,第一批
1331,1331,31,10712,西北农林科技大学,1638.0,陕西,1604521,3764.0,426.2808182784,2014,63.58,0.0,理科,16,31,575.0,591.0,580.0,12.0,第一批
1332,1332,25,10712,西北农林科技大学,1638.0,陕西,1251230,3743.0,334.2853326209,2012,8.48,0.0,理科,10,25,572.0,572.0,572.0,1.0,第一批
1333,1333,26,10712,西北农林科技大学,1638.0,陕西,1445368,3753.0,385.12336797230006,2013,8.02,0.0,理科,16,26,566.0,595.0,588.0,8.0,第一批
1334,1334,23,10712,西北农林科技大学,1638.0,陕西,816980,3727.0,219.205795546,2010,8.9,0.0,理科,14,23,540.0,588.0,549.0,75.0,第一批
1335,1335,31,10712,西北农林科技大学,1638.0,陕西,1768994,3775.0,468.6076821192,2015,65.14,0.0,理科,28,31,561.0,,567.0,,第一批
1336,1336,24,10712,西北农林科技大学,1638.0,陕西,1012348,3735.0,271.0436412316,2011,8.74,0.0,理科,14,24,621.0,631.0,626.0,4.0,第一批
1337,1337,25,10712,西北农林科技大学,1638.0,陕西,1768994,3775.0,468.6076821192,2015,65.14,0.0,文科,2,25,585.0,585.0,584.0,,第一批
