"","X","Year","Province","University_Name_Location","University_Name","Topic","Plan_Number","Lowest_Ranking","Ranking_Scores","Media_Impact","GDP","Population","Student_Population","GDP_Per_Person"
"138",138,2010,"江苏","南京邮电大学","南京邮电大学","理科",47,18188,1.48,NA,3445730,7810.269,61.5,441.179426726531
"139",139,2010,"江苏","江南大学","江南大学","文科",21,9155,5.45,NA,3445730,7810.269,61.5,441.179426726531
"140",140,2010,"江苏","苏州大学","苏州大学","理科",24,26239,9.13,0.0335802469135802,3445730,7810.269,61.5,441.179426726531
"141",141,2010,"江苏","南京大学","南京大学","理科",42,839,43.99,0.155555555555556,3445730,7810.269,61.5,441.179426726531
"142",142,2010,"江西","南昌大学","南昌大学","理科",22,29057,7.42,0.042798353909465,765518,4432.1581,61.5,172.719019206467
"143",143,2010,"江西","南昌大学","南昌大学","文科",20,9384,7.42,0.042798353909465,765518,4432.1581,61.5,172.719019206467
"144",144,2010,"河北","石家庄铁道大学","石家庄铁道大学","理科",4,19245,NA,NA,1723548,7034.4,61.5,245.017059024224
"145",145,2010,"河北","华北电力大学(保定)","华北电力大学","文科",4,10701,4.46,NA,1723548,7034.4,61.5,245.017059024224
"146",146,2010,"河北","燕山大学","燕山大学","理科",5,26600,5.29,NA,1723548,7034.4,61.5,245.017059024224
"147",147,2010,"河北","东北大学秦皇岛分校","东北大学","理科",40,28230,16.2,0.0465020576131687,1723548,7034.4,61.5,245.017059024224
"148",148,2010,"河北","华北电力大学(保定)","华北电力大学","理科",59,15912,4.46,NA,1723548,7034.4,61.5,245.017059024224
"149",149,2010,"河北","河北工业大学","河北工业大学","理科",10,24555,3.21,NA,1723548,7034.4,61.5,245.017059024224
"150",150,2010,"河北","石家庄铁道大学","石家庄铁道大学","文科",1,8824,NA,NA,1723548,7034.4,61.5,245.017059024224
"151",151,2010,"河南","郑州大学","郑州大学","理科",30,29339,8.89,0.0613168724279835,1948046,9487.05,61.5,205.337380956145
"152",152,2010,"河南","郑州大学","郑州大学","文科",12,10786,8.89,0.0613168724279835,1948046,9487.05,61.5,205.337380956145
"153",153,2010,"浙江","浙江大学","浙江大学","文科",12,310,53.16,0.240740740740741,2299035,5275.5,61.5,435.794711401763
"154",154,2010,"浙江","浙江大学","浙江大学","理科",73,533,53.16,0.240740740740741,2299035,5275.5,61.5,435.794711401763
"155",155,2010,"浙江","温州医学院","温州医学院","理科",25,29017,NA,NA,2299035,5275.5,61.5,435.794711401763
"156",156,2010,"海南","海南大学","海南大学","文科",49,10550,4.76,0.035761316872428,165421,864.07,61.5,191.443980233083
"157",157,2010,"海南","海南大学","海南大学","理科",116,27559,4.76,0.035761316872428,165421,864.07,61.5,191.443980233083
"158",158,2010,"湖北","中南财经政法大学","中南财经政法大学","理科",125,13535,5.94,0.0448559670781893,1296110,5720,61.5,226.592657342657
"159",159,2010,"湖北","华中科技大学","华中科技大学","理科",160,6329,33.15,0.0888888888888889,1296110,5720,61.5,226.592657342657
"160",160,2010,"湖北","武汉大学","武汉大学","理科",145,5971,40.14,0.179423868312757,1296110,5720,61.5,226.592657342657
"161",161,2010,"湖北","华中农业大学","华中农业大学","文科",12,10845,10.88,0.0330452674897119,1296110,5720,61.5,226.592657342657
"162",162,2010,"湖北","武汉理工大学","武汉理工大学","理科",184,16887,8.75,0.0347325102880658,1296110,5720,61.5,226.592657342657
"163",163,2010,"湖北","中国地质大学(武汉)","中国地质大学","文科",12,8538,11.73,0.0415637860082304,1296110,5720,61.5,226.592657342657
"164",164,2010,"湖北","中南财经政法大学","中南财经政法大学","文科",100,3251,5.94,0.0448559670781893,1296110,5720,61.5,226.592657342657
"165",165,2010,"湖北","华中科技大学","华中科技大学","文科",24,2902,33.15,0.0888888888888889,1296110,5720,61.5,226.592657342657
"166",166,2010,"湖北","武汉大学","武汉大学","文科",30,1245,40.14,0.179423868312757,1296110,5720,61.5,226.592657342657
"167",167,2010,"湖北","华中师范大学","华中师范大学","文科",17,6534,11.77,0.0481481481481481,1296110,5720,61.5,226.592657342657
"168",168,2010,"湖北","武汉理工大学","武汉理工大学","文科",16,8436,8.75,0.0347325102880658,1296110,5720,61.5,226.592657342657
"169",169,2010,"湖北","中国地质大学(武汉)","中国地质大学","理科",56,24313,11.73,0.0415637860082304,1296110,5720,61.5,226.592657342657
"170",170,2010,"湖北","华中农业大学","华中农业大学","理科",28,23699,10.88,0.0330452674897119,1296110,5720,61.5,226.592657342657
"171",171,2010,"湖北","华中师范大学","华中师范大学","理科",24,29086,11.77,0.0481481481481481,1296110,5720,61.5,226.592657342657
"172",172,2010,"湖南","湘潭大学","湘潭大学","理科",33,28780,4.67,NA,1305969,6406,61.5,203.866531376834
"173",173,2010,"湖南","中南大学","中南大学","文科",22,6152,28.22,0.0691358024691358,1305969,6406,61.5,203.866531376834
"174",174,2010,"湖南","湘潭大学","湘潭大学","文科",27,10493,4.67,NA,1305969,6406,61.5,203.866531376834
"175",175,2010,"湖南","湖南中医药大学","湖南中医药大学","理科",7,29105,0.94,NA,1305969,6406,61.5,203.866531376834
"176",176,2010,"湖南","湖南大学","湖南大学","文科",23,5474,13.84,0.0576131687242798,1305969,6406,61.5,203.866531376834
"177",177,2010,"湖南","湖南师范大学","湖南师范大学","文科",22,8432,8.28,0.0309053497942387,1305969,6406,61.5,203.866531376834
"178",178,2010,"湖南","中南大学","中南大学","理科",236,15261,28.22,0.0691358024691358,1305969,6406,61.5,203.866531376834
"179",179,2010,"湖南","湖南大学","湖南大学","理科",148,13505,13.84,0.0576131687242798,1305969,6406,61.5,203.866531376834
"180",180,2010,"湖南","湖南师范大学","湖南师范大学","理科",26,29406,8.28,0.0309053497942387,1305969,6406,61.5,203.866531376834
"181",181,2010,"甘肃","兰州大学","兰州大学","理科",38,23374,14.36,0.0493827160493827,338756,2554.91,61.5,132.590189086895
"182",182,2010,"甘肃","兰州大学","兰州大学","文科",12,7274,14.36,0.0493827160493827,338756,2554.91,61.5,132.590189086895
"183",183,2010,"福建","厦门大学","厦门大学","理科",70,12248,26.4,0.118930041152263,1223653,3666,61.5,333.784233496999
"184",184,2010,"福建","华侨大学","华侨大学","文科",44,10832,1.3,0.0388477366255144,1223653,3666,61.5,333.784233496999
"185",185,2010,"福建","厦门大学","厦门大学","文科",22,1620,26.4,0.118930041152263,1223653,3666,61.5,333.784233496999
"186",186,2010,"福建","华侨大学","华侨大学","理科",186,29441,1.3,0.0388477366255144,1223653,3666,61.5,333.784233496999
"187",187,2010,"福建","福州大学","福州大学","理科",10,24811,5.7,0.0337037037037037,1223653,3666,61.5,333.784233496999
"188",188,2010,"贵州","贵州大学","贵州大学","文科",6,10273,4.55,NA,391268,3537,61.5,110.621430590896
"189",189,2010,"贵州","贵州大学","贵州大学","理科",18,26886,4.55,NA,391268,3537,61.5,110.621430590896
"190",190,2010,"辽宁","大连海事大学","大连海事大学","理科",73,29032,3.38,NA,1521250,4341,61.5,350.437687168855
"191",191,2010,"辽宁","辽宁大学","辽宁大学","理科",14,29363,4.8,NA,1521250,4341,61.5,350.437687168855
"192",192,2010,"辽宁","沈阳药科大学","沈阳药科大学","理科",10,24363,1.67,NA,1521250,4341,61.5,350.437687168855
"193",193,2010,"辽宁","东北财经大学","东北财经大学","理科",20,15200,3.32,NA,1521250,4341,61.5,350.437687168855
"194",194,2010,"辽宁","大连海事大学","大连海事大学","文科",14,7594,3.38,NA,1521250,4341,61.5,350.437687168855
"195",195,2010,"辽宁","辽宁工程技术大学","辽宁工程技术大学","理科",30,27850,1.6,NA,1521250,4341,61.5,350.437687168855
"196",196,2010,"辽宁","大连理工大学","大连理工大学","理科",30,11656,18.38,0.0267078189300412,1521250,4341,61.5,350.437687168855
"197",197,2010,"辽宁","中国医科大学","中国医科大学","理科",19,22217,4.21,NA,1521250,4341,61.5,350.437687168855
"198",198,2010,"辽宁","辽宁大学","辽宁大学","文科",41,10814,4.8,NA,1521250,4341,61.5,350.437687168855
"199",199,2010,"辽宁","东北大学","东北大学","理科",42,22866,16.2,0.0465020576131687,1521250,4341,61.5,350.437687168855
"200",200,2010,"辽宁","东北财经大学","东北财经大学","文科",20,4033,3.32,NA,1521250,4341,61.5,350.437687168855
"201",201,2010,"重庆","西南大学","西南大学","文科",13,8751,9.33,0.0633744855967078,653001,2859,61.5,228.401888772298
"202",202,2010,"重庆","西南大学","西南大学","理科",37,29392,9.33,0.0633744855967078,653001,2859,61.5,228.401888772298
"203",203,2010,"重庆","西南政法大学","西南政法大学","理科",69,23308,3.81,0.0306172839506173,653001,2859,61.5,228.401888772298
"204",204,2010,"重庆","西南政法大学","西南政法大学","文科",65,4122,3.81,0.0306172839506173,653001,2859,61.5,228.401888772298
"205",205,2010,"重庆","重庆大学","重庆大学","文科",12,6292,15.33,0.060082304526749,653001,2859,61.5,228.401888772298
"206",206,2010,"重庆","重庆大学","重庆大学","理科",80,17825,15.33,0.060082304526749,653001,2859,61.5,228.401888772298
"207",207,2010,"陕西","长安大学","长安大学","理科",46,28490,7.86,NA,816980,3727,61.5,219.205795546016
"208",208,2010,"陕西","西北工业大学","西北工业大学","理科",21,15713,18.09,NA,816980,3727,61.5,219.205795546016
"209",209,2010,"陕西","陕西科技大学","陕西科技大学","理科",15,25220,1.08,NA,816980,3727,61.5,219.205795546016
"210",210,2010,"陕西","陕西师范大学","陕西师范大学","理科",32,28571,5.82,NA,816980,3727,61.5,219.205795546016
"211",211,2010,"陕西","西北大学","西北大学","理科",6,28814,11.58,0.0477366255144033,816980,3727,61.5,219.205795546016
