,UniversityNo,University_Name,University_Name_Pinyin,University_Name_Location,Distance,Province,GDP,Population,GDP_Per_Person,Year,Student_Population,X1A_Number,Ranking_Scores,Media_Impact,Topic,Plan_Number,Plan_Number_Total,Lowest_Ranking,Label,Ranking_Percentage
104,10225,东北林业大学,dongbeilinyedaxue,东北林业大学,3294.0,黑龙江,1369158,3834.04,357.1058204922,2013,72.7,12924,4.21,0.0,文科,4,10697.0,12924,12,1.0
105,10225,东北林业大学,dongbeilinyedaxue,东北林业大学,3294.0,黑龙江,858700,3826.01,224.4374687991,2010,61.5,29550,5.46,0.0,理科,16,28587.0,29550,12,1.0
106,10225,东北林业大学,dongbeilinyedaxue,东北林业大学,3294.0,黑龙江,1258200,3834.01,328.1681581425,2012,69.2,29207,5.02,0.0,理科,23,27731.0,29207,12,1.0
107,10225,东北林业大学,dongbeilinyedaxue,东北林业大学,3294.0,黑龙江,1438293,3835.02,375.0418511507,2014,75.6,14000,61.89,0.0,文科,4,13299.0,14000,11,1.0
108,10220,东北石油大学,dongbeishiyoudaxue,东北石油大学,3330.0,黑龙江,858700,3826.01,224.4374687991,2010,61.5,29550,0.0,0.0,理科,5,28587.0,28693,12,0.970998308
109,10220,东北石油大学,dongbeishiyoudaxue,东北石油大学,3330.0,黑龙江,1369158,3834.04,357.1058204922,2013,72.7,40420,1.86,0.0,理科,60,35561.0,40420,13,1.0
110,10220,东北石油大学,dongbeishiyoudaxue,东北石油大学,3330.0,黑龙江,1503938,3833.0,392.36577093660003,2015,75.4,51000,61.96,0.0,理科,46,46267.0,51000,15,1.0
111,10220,东北石油大学,dongbeishiyoudaxue,东北石油大学,3330.0,黑龙江,1258200,3834.01,328.1681581425,2012,69.2,29207,0.0,0.0,理科,5,27731.0,29207,12,1.0
112,10220,东北石油大学,dongbeishiyoudaxue,东北石油大学,3330.0,黑龙江,1036860,3833.35,270.4840413737,2011,65.5,30392,0.0,0.0,理科,5,28810.0,30392,13,1.0
113,10220,东北石油大学,dongbeishiyoudaxue,东北石油大学,3330.0,黑龙江,1438293,3835.02,375.0418511507,2014,75.6,43106,60.8,0.0,理科,46,40651.0,43106,15,1.0
114,10173,东北财经大学,dongbeicaijingdaxue,东北财经大学,2246.0,辽宁,2862658,4391.0,651.9375996356,2015,75.4,16964,62.69,0.0,文科,16,3149.0,5860,9,0.3454373968
115,10173,东北财经大学,dongbeicaijingdaxue,东北财经大学,2246.0,辽宁,2222670,4383.0,507.11156741959996,2012,69.2,10000,3.18,0.0,文科,21,2380.0,5535,9,0.5535
116,10173,东北财经大学,dongbeicaijingdaxue,东北财经大学,2246.0,辽宁,2707765,4390.0,616.8029612756,2014,75.6,43106,61.29,0.0,理科,31,20704.0,24483,13,0.5679719760999999
117,10173,东北财经大学,dongbeicaijingdaxue,东北财经大学,2246.0,辽宁,1845727,4375.0,421.8804571429,2011,65.5,10919,3.38,0.0,文科,20,10967.0,10124,11,0.9271911347
118,10173,东北财经大学,dongbeicaijingdaxue,东北财经大学,2246.0,辽宁,2222670,4383.0,507.11156741959996,2012,69.2,29207,3.18,0.0,理科,19,13947.0,17253,10,0.5907145547
119,10173,东北财经大学,dongbeicaijingdaxue,东北财经大学,2246.0,辽宁,2707765,4390.0,616.8029612756,2014,75.6,14000,61.29,0.0,文科,29,7171.0,7889,9,0.5635
120,10173,东北财经大学,dongbeicaijingdaxue,东北财经大学,2246.0,辽宁,2862658,4391.0,651.9375996356,2015,75.4,51000,62.69,0.0,理科,24,19467.0,21436,12,0.42031372549999996
121,60173,东北财经大学,dongbeicaijingdaxue,东北财经大学(中外合作办学专业),2246.0,辽宁,2862658,4391.0,651.9375996356,2015,75.4,51000,62.69,0.0,理科,10,46267.0,51000,15,1.0
122,60173,东北财经大学,dongbeicaijingdaxue,东北财经大学(中外合作办学专业),2246.0,辽宁,2862658,4391.0,651.9375996356,2015,75.4,16964,62.69,0.0,文科,10,14945.0,16964,12,1.0
123,10173,东北财经大学,dongbeicaijingdaxue,东北财经大学,2246.0,辽宁,2484643,4389.0,566.1068580542,2013,72.7,12924,3.15,0.0,文科,29,10697.0,12924,12,1.0
124,10173,东北财经大学,dongbeicaijingdaxue,东北财经大学,2246.0,辽宁,1521250,4341.0,350.43768716889997,2010,61.5,29550,3.32,0.0,理科,20,9731.0,15200,9,0.5143824027
125,10173,东北财经大学,dongbeicaijingdaxue,东北财经大学,2246.0,辽宁,1845727,4375.0,421.8804571429,2011,65.5,30392,3.38,0.0,理科,20,16174.0,19301,11,0.6350684391
126,10173,东北财经大学,dongbeicaijingdaxue,东北财经大学,2246.0,辽宁,2484643,4389.0,566.1068580542,2013,72.7,40420,3.15,0.0,理科,31,17968.0,26520,11,0.6561108362
127,10173,东北财经大学,dongbeicaijingdaxue,东北财经大学,2246.0,辽宁,1521250,4341.0,350.43768716889997,2010,61.5,10869,3.32,0.0,文科,20,2214.0,4033,6,0.3710552949
