,UniversityNo,Year,Topic,Lowest,GDP,Population,GDP_Per_Person,Plan_Number,Ranking_Scores,Media_Impact,Distance,Last_Ranking,Average_Ranking
233,11415,2010,1,540.0,1215300,1860.0,653.3870967742,27,11.73,0.041563786,988.0,0.0,0.0
234,10491,2014,0,595.0,2466849,5799.0,425.3921365753,15,64.77,0.0558441558,988.0,10080.0,9125.75
235,10053,2015,0,,2133083,2152.0,991.2095724907001,56,64.35,0.1934477379,2154.0,3177.0,2941.8
236,10053,2015,0,,2133083,2152.0,991.2095724907001,56,64.35,0.1934477379,2154.0,3177.0,2941.8
237,10053,2013,1,639.0,1787940,2069.3,864.0313149374001,42,5.8,0.16909975670000002,2154.0,3412.0,4416.666666666667
238,10053,2010,1,576.0,1215300,1860.0,653.3870967742,39,6.2,0.1930041152,2154.0,0.0,0.0
239,10053,2013,0,618.0,1787940,2069.3,864.0313149374001,55,5.8,0.16909975670000002,2154.0,1160.0,935.6666666666666
240,10053,2015,1,,2133083,2152.0,991.2095724907001,49,64.35,0.1934477379,2154.0,43106.0,12045.2
241,10053,2015,1,,2133083,2152.0,991.2095724907001,49,64.35,0.1934477379,2154.0,43106.0,12045.2
242,10053,2011,0,627.0,1411358,1961.9,719.3832509302,48,5.85,0.17004048579999997,2154.0,777.0,777.0
243,10053,2014,1,616.0,1950056,2114.8,922.0994893134,42,62.39,0.1655844156,2154.0,3870.0,4280.0
244,10053,2012,0,623.0,1625193,2018.6,805.1089864262,43,6.45,0.167673716,2154.0,870.0,823.5
245,10053,2010,0,547.0,1215300,1860.0,653.3870967742,48,6.2,0.1930041152,2154.0,0.0,0.0
246,10053,2010,0,523.0,1215300,1860.0,653.3870967742,48,6.2,0.1930041152,2154.0,0.0,0.0
