Label,University_Name,UniversityNo,Year,Topic,Province,University_Name_Location,Plan_Number,Ranking_Scores,Media_Impact,GDP,Population,GDP_Per_Person,Distance
8949,复旦大学,10246,2011,理科,上海,复旦大学,36,54.89,0.4696356275,1716598,2302.66,745.4847871592,1473
8951,复旦大学,10246,2010,文科,上海,复旦大学,15,55.83,0.4526748971,1504645,2210.2841277426,680.7473216291,1473
8952,复旦大学,10246,2012,文科,上海,复旦大学,12,55.57,0.4531722054,1919569,2347.46,817.7217077181,1473
8963,复旦大学,10246,2010,理科,上海,复旦大学,34,55.83,0.4526748971,1504645,2210.2841277426,680.7473216291,1473
8975,复旦大学,10246,2014,理科,上海,复旦大学,28,82.51,0.4350649351,2160212,2415.15,894.4421671532,1473
8988,复旦大学,10246,2015,理科,上海,复旦大学,12,80.92,0.4477379095,2356094,2426,971.1846661171,1473
9000,复旦大学,10246,2012,理科,上海,复旦大学,40,55.57,0.4531722054,1919569,2347.46,817.7217077181,1473
9014,复旦大学,10246,2014,文科,上海,复旦大学,21,82.51,0.4350649351,2160212,2415.15,894.4421671532,1473
9024,复旦大学,10246,2011,文科,上海,复旦大学,16,54.89,0.4696356275,1716598,2302.66,745.4847871592,1473
9036,复旦大学,10246,2013,理科,上海,复旦大学,26,55.87,0.4890510949,2018172,2380.43,847.8182513243,1473
9054,复旦大学,10246,2013,文科,上海,复旦大学,15,55.87,0.4890510949,2018172,2380.43,847.8182513243,1473
9063,复旦大学,19246,2014,理科,上海,复旦大学医学,11,82.51,0.4350649351,2160212,2415.15,894.4421671532,1473
9066,复旦大学,19246,2015,理科,上海,复旦大学医学,5,80.92,0.4477379095,2356094,2426,971.1846661171,1473
9069,复旦大学,19246,2013,理科,上海,复旦大学医学,15,55.87,0.4890510949,2018172,2380.43,847.8182513243,1473
9072,复旦大学,10246,2015,文科,上海,复旦大学,13,80.92,0.4477379095,2356094,2426,971.1846661171,1473
9102,大连海事大学,10151,2012,文科,辽宁,大连海事大学,14,3.37,0,2222670,4383,507.1115674196,2259
9110,大连海事大学,10151,2014,文科,辽宁,大连海事大学,16,61.27,0,2707765,4390,616.8029612756,2259
9114,大连海事大学,10151,2011,文科,辽宁,大连海事大学,12,3.28,0,1845727,4375,421.8804571429,2259
