"","University_Name","UniversityNo","Year","Topic","X","Province","University_Name_Location","Plan_Number","Lowest_Ranking","Ranking_Scores","Media_Impact","GDP","Population","Student_Population","GDP_Per_Person","X1A_Number","Ranking_Percentage","University_Name_Pinyin","Distance"
"12500","湖南大学",10532,2015,"理科",1483,"湖南","湖南大学",215,13532,67.92,0.0681747269890796,2704846,6737,75.4,401.491168175746,51000,0.265333333333333,"hunandaxue",272
"12501","湖南大学",10532,2013,"文科",906,"湖南","湖南大学",25,3987,14.31,0.0549878345498783,2215423,6638.93,72.7,333.701816407162,12924,0.30849582172702,"hunandaxue",272
"12502","湖南大学",10532,2010,"文科",176,"湖南","湖南大学",23,5474,13.84,0.0576131687242798,1305969,6406,61.5,203.866531376834,10869,0.503634188977827,"hunandaxue",272
"12503","湖南大学",10532,2010,"文科",176,"湖南","湖南大学",23,5474,13.84,0.0576131687242798,1305969,6406,61.5,203.866531376834,10869,0.503634188977827,"hunandaxue",272
"12504","湖南大学",10532,2010,"文科",176,"湖南","湖南大学",23,5474,13.84,0.0576131687242798,1305969,6406,61.5,203.866531376834,10869,0.503634188977827,"hunandaxue",272
"12505","湖南大学",10532,2010,"文科",176,"湖南","湖南大学",23,5474,13.84,0.0576131687242798,1305969,6406,61.5,203.866531376834,10869,0.503634188977827,"hunandaxue",272
"12506","湖南大学",10532,2011,"文科",420,"湖南","湖南大学",24,4364,14.05,0.0663967611336032,1603796,6570.1,65.5,244.105264760049,10919,0.399670299477974,"hunandaxue",272
"12507","湖南大学",10532,2011,"文科",420,"湖南","湖南大学",24,4364,14.05,0.0663967611336032,1603796,6570.1,65.5,244.105264760049,10919,0.399670299477974,"hunandaxue",272
"12508","湖南大学",10532,2011,"文科",420,"湖南","湖南大学",24,4364,14.05,0.0663967611336032,1603796,6570.1,65.5,244.105264760049,10919,0.399670299477974,"hunandaxue",272
"12509","湖南大学",10532,2014,"文科",1183,"湖南","湖南大学",29,3797,66.41,0.0685064935064935,2450167,6690.6,75.6,366.210354826174,14000,0.271214285714286,"hunandaxue",272
"12510","湖南大学",10532,2014,"文科",1183,"湖南","湖南大学",29,3797,66.41,0.0685064935064935,2450167,6690.6,75.6,366.210354826174,14000,0.271214285714286,"hunandaxue",272
