"","Year","Topic","University_Name_Location","Label","University_Name","UniversityNo","Province","Plan_Number","Lowest_Ranking","Score","Ranking_Scores","Media_Impact","GDP","Population","Student_Population","GDP_Per_Person","X1A_Number","Ranking_Percentage","University_Name_Pinyin","Distance","Score_Last_Year"
"104",2010,"理科","中山大学",3432,"中山大学",10558,"广东",2810,11428,644,32.72,0.2267489712,3948256,10130.1854628636,61.5,389.7516007455,29550,0.3867343486,"zhongshandaxue",119,541
"105",2010,"理科","兰州大学",3539,"兰州大学",10730,"甘肃",38,23374,627,14.36,0.049382716,338756,2554.91,61.5,132.5901890869,29550,0.790998308,"lanzhoudaxue",2258,552
"106",2010,"理科","内蒙古大学",3717,"内蒙古大学",10126,"内蒙古",11,29550,621,5.56,0,974025,2458.22,61.5,396.2318262808,29550,1,"neimenggudaxue",2304,542
"107",2010,"理科","北京中医药大学",3824,"北京中医药大学",10026,"北京",2,8611,649,3.89,0,1215300,1860,61.5,653.3870967742,29550,0.2914043993,"beijingzhongyiyaodaxue",2138,540
"108",2010,"理科","北京交通大学",3961,"北京交通大学",10004,"北京",71,20541,631,9.94,0.0406995885,1215300,1860,61.5,653.3870967742,29550,0.6951269036,"beijingjiaotongdaxue",2124,548
"109",2010,"理科","北京体育大学",3997,"北京体育大学",10043,"北京",15,29550,621,1.87,0.0617283951,1215300,1860,61.5,653.3870967742,29550,1,"beijingtiyudaxue",2131,540
"110",2010,"理科","北京化工大学",4185,"北京化工大学",10010,"北京",50,18667,633,7.18,0,1215300,1860,61.5,653.3870967742,29550,0.6317089679,"beijinghuagongdaxue",2133,558
"111",2010,"理科","北京外国语大学",4355,"北京外国语大学",10030,"北京",8,5656,656,3.77,0.0388065844,1215300,1860,61.5,653.3870967742,29550,0.1914043993,"beijingwaiguoyudaxue",2122,548
"112",2010,"理科","北京大学",4514,"北京大学",10001,"北京",16,118,694,100,1,1215300,1860,61.5,653.3870967742,29550,0.0039932318,"beijingdaxue",2156,655
"113",2010,"理科","北京工业大学",4655,"北京工业大学",10005,"北京",18,16402,636,7.95,0.0637860082,1215300,1860,61.5,653.3870967742,29550,0.5550592217,"beijinggongyedaxue",2116,564
