,UniversityNo,University_Name_Location,Distance,Province,GDP,Population,GDP_Per_Person,Year,Ranking_Scores,Media_Impact,Topic,Plan_Number,Last_Lowest_Ranking,Label,Lowest,Highest,ave,Plan,NO
1108,10635,西南大学,1581,重庆,1265669,2970,426.1511784512,2014,64.13,0.076461039,理科,39,28065,27,566,602,589,46,第一批
1109,10635,西南大学,1581,重庆,1265669,2970,426.1511784512,2014,64.13,0.076461039,文科,12,8830,17,598,611,603,14,第一批
1110,10635,西南大学,1581,重庆,792558,2884.62,274.7530003952,2011,9.96,0.0603238866,文科,7,8751,21,,608,601,13,第一批
1111,10635,西南大学,1581,重庆,792558,2884.62,274.7530003952,2011,9.96,0.0603238866,文科,7,8751,21,,612,603,6,不详
1112,10635,西南大学,1581,重庆,792558,2884.62,274.7530003952,2011,9.96,0.0603238866,理科,36,29392,24,,634,625,35,第一批
1113,10635,西南大学,1581,重庆,792558,2884.62,274.7530003952,2011,9.96,0.0603238866,理科,36,29392,24,,657,637,12,不详
1114,10652,西南政法大学,1298,重庆,1140960,2945,387.4227504244,2013,3.36,0.0401459854,理科,63,18152,21,589,647,611,63,第一批
1115,10652,西南政法大学,1298,重庆,1265669,2970,426.1511784512,2014,61.44,0.0402597403,理科,63,22561,24,591,630,604,65,第一批
1116,10652,西南政法大学,1298,重庆,1265669,2970,426.1511784512,2014,61.44,0.0402597403,文科,68,4279,15,596,632,619,75,第一批
1117,10652,西南政法大学,1298,重庆,1140960,2945,387.4227504244,2013,3.36,0.0401459854,文科,69,4657,14,588,629,611,83,第一批
1118,10652,西南政法大学,1298,重庆,792558,2884.62,274.7530003952,2011,3.77,0.0389878543,文科,67,4122,18,,638,622,68,第一批
1119,10652,西南政法大学,1298,重庆,792558,2884.62,274.7530003952,2011,3.77,0.0389878543,文科,67,4122,18,,612,605,7,不详
1120,10652,西南政法大学,1298,重庆,1001137,2919,342.9725933539,2012,3.71,0.0401812689,文科,70,5779,16,575,624,605,67,第一批
1121,10652,西南政法大学,1298,重庆,1426540,2991,476.9441658308,2015,62.9,0.0386895476,文科,42,5628,15,,,608,,第一批
1122,10652,西南政法大学,1298,重庆,1426540,2991,476.9441658308,2015,62.9,0.0386895476,文科,42,5628,15,,,594,,提前批
1123,10652,西南政法大学,1298,重庆,1426540,2991,476.9441658308,2015,62.9,0.0386895476,理科,38,22600,23,,,595,,第一批
1124,10652,西南政法大学,1298,重庆,1426540,2991,476.9441658308,2015,62.9,0.0386895476,理科,38,22600,23,,,576,,提前批
1125,10652,西南政法大学,1298,重庆,792558,2884.62,274.7530003952,2011,3.77,0.0389878543,理科,68,23308,20,,659,641,70,第一批
1126,10652,西南政法大学,1298,重庆,792558,2884.62,274.7530003952,2011,3.77,0.0389878543,理科,68,23308,20,,653,635,8,不详
1127,10652,西南政法大学,1298,重庆,1001137,2919,342.9725933539,2012,3.71,0.0401812689,理科,61,21429,19,579,618,589,69,第一批
1128,10651,西南财经大学,1584,四川,2387280,8076.2,295.5944627424,2013,4.26,0.0389294404,理科,63,12994,16,610,647,625,37,第一批
1129,10651,西南财经大学,1584,四川,2853666,8140,350.5732186732,2015,63.39,0.0541341654,理科,48,10826,18,,,618,,第一批
1130,10651,西南财经大学,1584,四川,2853666,8140,350.5732186732,2015,63.39,0.0541341654,文科,26,3159,16,,,617,,第一批
1131,10651,西南财经大学,1584,四川,2626077,8107,323.927100037,2014,61.81,0.0534090909,文科,32,3903,12,614,632,623,27,第一批
1132,10651,西南财经大学,1584,四川,2102668,8050,261.2009937888,2012,4.45,0.0380664653,理科,36,18147,17,585,644,608,36,第一批
1133,10651,西南财经大学,1584,四川,1718548,8044.92,213.6190291513,2011,4.34,0.0518218623,理科,36,7402,19,633,665,655,36,第一批
1134,10651,西南财经大学,1584,四川,2626077,8107,323.927100037,2014,61.81,0.0534090909,理科,49,13048,17,608,639,619,65,第一批
1135,10651,西南财经大学,1584,四川,2387280,8076.2,295.5944627424,2013,4.26,0.0389294404,文科,27,2639,13,600,639,618,24,第一批
1136,10651,西南财经大学,1584,四川,2102668,8050,261.2009937888,2012,4.45,0.0380664653,文科,24,3556,13,603,619,608,25,第一批
