,UniversityNo,Year,Topic,Lowest,GDP,Population,GDP_Per_Person,Plan_Number,Ranking_Scores,Media_Impact,Distance,Last_Ranking,Average_Ranking
266,11414,2011,1,632.0,1411358,1961.9,719.3832509302209,17,11.06,0.059919028340081,1858.0,19602.0,19602.0
267,11414,2013,0,605.0,1787940,2069.3,864.0313149374181,4,9.95,0.054014598540145994,1858.0,4674.0,5135.5
268,10425,2014,1,574.0,5468433,9733.39,561.822037337454,55,63.77,0.0,1858.0,40420.0,29224.0
269,11414,2012,1,566.0,1625193,2018.6,805.108986426236,16,11.26,0.0537764350453172,1858.0,17685.0,18643.5
272,11414,2014,1,585.0,1950056,2114.8,922.09948931341,17,63.77,0.0,1858.0,27089.0,23395.75
273,11414,2015,1,,2133083,2152.0,991.209572490706,19,65.1,0.0394695787831513,1858.0,22341.0,23184.8
274,11414,2014,0,577.0,1950056,2114.8,922.09948931341,4,63.77,0.0,1858.0,9575.0,6615.333333333333
275,11414,2012,0,594.0,1625193,2018.6,805.108986426236,3,11.26,0.0537764350453172,1858.0,5597.0,5597.0
276,11413,2012,1,570.0,1625193,2018.6,805.108986426236,7,12.25,0.0241087613293051,2136.0,27661.0,27297.5
278,11413,2013,1,587.0,1787940,2069.3,864.0313149374181,10,10.71,0.0233576642335766,2136.0,27484.0,27359.666666666668
279,11413,2015,1,566.0,2133083,2152.0,991.209572490706,20,66.79,0.0354134165366615,2136.0,30387.0,29194.6
280,11413,2011,1,622.0,1411358,1961.9,719.3832509302209,6,11.94,0.0,2136.0,26934.0,26934.0
281,11413,2014,1,577.0,1950056,2114.8,922.09948931341,17,64.55,0.0386363636363636,2136.0,33507.0,28896.5
282,10358,2014,1,642.0,1903887,6029.8,315.7462934094,30,0.0,0.0,1214.0,727.0,705.5
284,10358,2015,1,,2084875,6083.0,342.737958244287,30,72.98,0.11107644305772198,1214.0,701.0,704.6
285,10358,2012,1,624.0,1530065,5968.0,256.37818364611303,33,0.0,0.0,1214.0,700.0,709.0
286,10358,2013,1,643.0,1721205,5988.0,287.442384769539,38,0.0,0.0,1214.0,677.0,698.3333333333334
287,10358,2011,1,680.0,1235933,5956.7,207.486192019071,35,0.0,0.0,1214.0,718.0,718.0
288,10316,2013,1,592.0,5405822,7919.98,682.555006452037,24,3.42,0.0,1390.0,23353.0,25838.0
290,10316,2014,0,600.0,5916175,7939.49,745.1580643089169,2,61.37,0.0,1390.0,8032.0,9058.666666666666
291,10316,2015,0,,6508832,7960.0,817.6924623115581,2,62.81,0.0,1390.0,11288.0,9616.0
292,10316,2011,1,622.0,4142548,7869.34,526.416192463409,23,3.46,0.0,1390.0,28197.0,28197.0
294,10316,2014,1,568.0,5916175,7939.49,745.1580643089169,24,61.37,0.0,1390.0,26507.0,26005.25
295,10316,2012,0,580.0,4911027,7898.800668234179,621.743376782527,2,3.4,0.0,1390.0,10919.0,10919.0
296,10316,2012,1,573.0,4911027,7898.800668234179,621.743376782527,21,3.4,0.0,1390.0,25964.0,27080.5
297,10316,2015,1,,6508832,7960.0,817.6924623115581,24,62.81,0.0,1390.0,26848.0,26173.8
298,10316,2013,0,594.0,5405822,7919.98,682.555006452037,2,3.42,0.0,1390.0,8225.0,9572.0
